snum,wins,victories,rounds
#739,30,8,"['#739', '#739', '#761', '#739', '#761', '#739', '#739', '#910', '#739', '#910', '#739', '#48', '#48', '#739', '#739', '#8', '#739', '#739', '#739', '#8', '#739', '#739', '#854', '#739', '#739', '#739', '#218', '#218', '#739', '#739', '#739', '#739', '#739', '#739', '#739', '#548', '#548', '#548', '#739', '#739', '#739', '#399', '#399', '#739', '#739', '#739', '#591', '#591', '#591', '#591']"
#761,50,13,"['#739', '#739', '#761', '#739', '#761', '#422', '#761', '#761', '#422', '#761', '#761', '#761', '#567', '#761', '#567', '#761', '#761', '#761', '#761', '#983', '#761', '#761', '#914', '#761', '#914', '#761', '#802', '#761', '#761', '#802', '#942', '#761', '#761', '#761', '#761', '#761', '#761', '#761', '#761', '#761', '#761', '#761', '#638', '#761', '#638', '#761', '#761', '#761', '#761', '#451', '#761', '#34', '#761', '#761', '#761', '#761', '#406', '#406', '#761', '#406', '#761', '#918', '#761', '#761', '#761', '#761', '#761', '#964', '#761', '#964', '#761', '#256', '#761', '#761', '#256']"
#983,24,5,"['#983', '#983', '#983', '#983', '#983', '#983', '#983', '#102', '#983', '#983', '#983', '#983', '#25', '#25', '#983', '#761', '#761', '#761', '#761', '#983', '#983', '#983', '#983', '#893', '#893', '#983', '#983', '#983', '#983', '#205', '#983', '#983', '#999', '#999', '#999', '#10', '#983', '#983', '#10', '#10']"
#303,23,4,"['#983', '#983', '#983', '#983', '#983', '#368', '#303', '#368', '#368', '#303', '#303', '#29', '#29', '#303', '#303', '#718', '#303', '#718', '#303', '#303', '#931', '#931', '#931', '#931', '#303', '#413', '#413', '#413', '#413', '#303', '#303', '#803', '#303', '#803', '#303', '#913', '#303', '#913', '#913', '#303', '#454', '#454', '#454', '#454', '#303', '#445', '#303', '#445', '#445', '#445', '#904', '#303', '#904', '#303', '#904', '#303', '#988', '#303', '#303', '#303']"
#831,32,8,"['#831', '#831', '#831', '#831', '#831', '#831', '#450', '#450', '#831', '#831', '#831', '#831', '#831', '#394', '#831', '#831', '#4', '#4', '#831', '#831', '#831', '#831', '#975', '#831', '#831', '#831', '#429', '#831', '#429', '#831', '#73', '#73', '#73', '#73', '#831', '#831', '#841', '#841', '#841', '#831', '#831', '#456', '#831', '#831', '#831', '#831', '#292', '#292', '#831', '#831']"
#945,33,7,"['#831', '#831', '#831', '#831', '#831', '#945', '#231', '#945', '#945', '#945', '#231', '#945', '#945', '#231', '#945', '#647', '#647', '#945', '#647', '#647', '#32', '#945', '#945', '#32', '#945', '#829', '#945', '#945', '#829', '#829', '#138', '#138', '#945', '#138', '#945', '#945', '#945', '#945', '#945', '#57', '#945', '#945', '#945', '#945', '#112', '#945', '#242', '#945', '#945', '#242', '#106', '#945', '#945', '#106', '#106', '#876', '#876', '#945', '#876', '#876', '#945', '#241', '#945', '#945', '#241', '#24', '#24', '#945', '#24', '#24']"
#420,71,18,"['#1', '#1', '#1', '#1', '#1', '#2', '#420', '#2', '#420', '#420', '#420', '#420', '#911', '#911', '#420', '#911', '#420', '#420', '#420', '#420', '#420', '#420', '#420', '#420', '#420', '#511', '#420', '#511', '#511', '#511', '#911', '#911', '#911', '#911', '#911', '#420', '#420', '#911', '#420', '#420', '#911', '#420', '#911', '#911', '#911', '#500', '#420', '#500', '#420', '#420', '#911', '#420', '#911', '#420', '#420', '#420', '#420', '#911', '#420', '#420', '#420', '#420', '#420', '#911', '#420', '#420', '#420', '#420', '#910', '#420', '#911', '#420', '#911', '#420', '#420', '#69', '#420', '#420', '#69', '#69', '#627', '#627', '#627', '#627', '#420', '#420', '#420', '#911', '#420', '#420', '#420', '#420', '#911', '#911', '#420', '#420', '#420', '#911', '#420', '#420', '#967', '#420', '#967', '#967', '#420', '#420', '#911', '#911', '#420', '#420', '#90', '#420', '#90', '#420', '#420', '#420', '#420', '#420', '#420', '#434', '#22', '#22', '#420', '#420', '#420']"
#999,73,18,"['#999', '#999', '#999', '#999', '#999', '#2', '#999', '#2', '#2', '#2', '#1', '#999', '#999', '#999', '#1', '#256', '#256', '#999', '#999', '#256', '#999', '#999', '#999', '#999', '#107', '#772', '#999', '#772', '#999', '#999', '#253', '#999', '#999', '#999', '#999', '#999', '#999', '#999', '#999', '#595', '#999', '#999', '#999', '#999', '#999', '#728', '#728', '#728', '#999', '#999', '#999', '#504', '#999', '#999', '#999', '#784', '#784', '#999', '#999', '#999', '#999', '#999', '#999', '#999', '#281', '#999', '#986', '#999', '#999', '#986', '#999', '#305', '#999', '#999', '#305', '#983', '#983', '#999', '#999', '#999', '#999', '#776', '#999', '#999', '#999', '#999', '#999', '#999', '#999', '#509', '#343', '#343', '#999', '#999', '#999', '#999', '#999', '#999', '#999', '#999', '#999', '#999', '#122', '#999', '#999']"
566,1,0,"['#1', '566', '#1', '#1', '#1']"
#587,27,6,"['#587', '#279', '#587', '#587', '#279', '#632', '#632', '#632', '#632', '#587', '#587', '#28', '#587', '#28', '#587', '#587', '#587', '#137', '#587', '#137', '#587', '#587', '#587', '#824', '#824', '#992', '#587', '#992', '#992', '#992', '#915', '#915', '#915', '#587', '#915', '#785', '#785', '#785', '#785', '#785', '#673', '#673', '#587', '#673', '#673', '#967', '#587', '#587', '#967', '#967', '#587', '#587', '#587', '#253', '#253', '#123', '#123', '#123', '#587', '#123', '#19', '#587', '#587', '#19', '#587', '#736', '#736', '#587', '#587', '#736']"
